country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,rank,region,sub_region,iso_alpha
Finland,7.804,10.792,0.969,71.15,0.961,-0.019,0.182,1,Europe,Northern Europe,FIN
Denmark,7.586,10.962,0.954,71.25,0.934,0.134,0.196,2,Europe,Northern Europe,DNK
Iceland,7.53,10.896,0.983,72.05,0.936,0.211,0.668,3,Europe,Northern Europe,ISL
Israel,7.473,10.639,0.943,72.697,0.809,-0.023,0.708,4,Asia,Western Asia,ISR
Netherlands,7.403,10.942,0.93,71.55,0.887,0.213,0.379,5,Europe,Western Europe,NLD
Sweden,7.395,10.883,0.939,72.15,0.948,0.165,0.202,6,Europe,Northern Europe,SWE
Norway,7.315,11.088,0.943,71.5,0.947,0.141,0.283,7,Europe,Northern Europe,NOR
Switzerland,7.24,11.164,0.92,72.9,0.891,0.027,0.266,8,Europe,Western Europe,CHE
Luxembourg,7.228,11.66,0.879,71.675,0.915,0.024,0.345,9,Europe,Western Europe,LUX
New Zealand,7.123,10.662,0.952,70.35,0.887,0.175,0.271,10,Oceania,Australia and New Zealand,NZL
Austria,7.097,10.899,0.888,71.15,0.855,0.102,0.497,11,Europe,Western Europe,AUT
Australia,7.095,10.821,0.934,71.05,0.89,0.198,0.496,12,Oceania,Australia and New Zealand,AUS
Canada,6.961,10.773,0.929,71.4,0.874,0.153,0.42,13,Americas,Northern America,CAN
Ireland,6.911,11.527,0.905,71.3,0.874,0.092,0.358,14,Europe,Northern Europe,IRL
United States,6.894,11.048,0.919,65.85,0.8,0.137,0.689,15,Americas,Northern America,USA
Germany,6.892,10.879,0.896,71.3,0.846,0.03,0.42,16,Europe,Western Europe,DEU
Belgium,6.859,10.844,0.915,70.899,0.825,0.001,0.549,17,Europe,Western Europe,BEL
Czechia,6.845,10.611,0.953,69.05,0.903,0.04,0.859,18,Europe,Eastern Europe,CZE
United Kingdom,6.796,10.704,0.882,70.3,0.852,0.253,0.454,19,Europe,Northern Europe,GBR
Lithuania,6.763,10.568,0.939,67.397,0.748,-0.145,0.805,20,Europe,Northern Europe,LTU
France,6.661,10.701,0.909,72.3,0.819,-0.1,0.553,21,Europe,Western Europe,FRA
Slovenia,6.65,10.588,0.951,71.052,0.913,0.014,0.771,22,Europe,Southern Europe,SVN
Costa Rica,6.609,9.952,0.872,70,0.895,-0.07,0.768,23,Americas,Latin America and the Caribbean,CRI
Romania,6.589,10.339,0.848,67.051,0.856,-0.172,0.929,24,Europe,Eastern Europe,ROU
Singapore,6.587,11.571,0.878,73.8,0.878,0.063,0.146,25,Asia,South-eastern Asia,SGP
United Arab Emirates,6.571,11.145,0.826,66.243,0.942,0.096,0.584,26,Asia,Western Asia,ARE
Taiwan Province of China,6.535,10.797,0.884,69.6,0.804,-0.129,0.681,27,Asia,Eastern Asia,TWN
Uruguay,6.494,10.037,0.913,67.5,0.895,-0.065,0.575,28,Americas,Latin America and the Caribbean,URY
Slovakia,6.469,10.353,0.953,68.838,0.753,-0.016,0.898,29,Europe,Eastern Europe,SVK
Saudi Arabia,6.463,10.715,0.884,64.399,0.894,-0.081,0.691,30,Asia,Western Asia,SAU
Estonia,6.455,10.541,0.946,69.65,0.929,0.032,0.409,31,Europe,Northern Europe,EST
Spain,6.436,10.54,0.932,72.35,0.782,-0.066,0.711,32,Europe,Southern Europe,ESP
Italy,6.405,10.634,0.882,72.05,0.711,-0.074,0.842,33,Europe,Southern Europe,ITA
Kosovo,6.368,9.359,0.844,65.195,0.861,0.259,0.866,34,Europe,Southern Europe,XXK
Chile,6.334,10.114,0.889,70.3,0.792,-0.011,0.823,35,Americas,Latin America and the Caribbean,CHL
Mexico,6.33,9.85,0.804,65.8,0.856,-0.094,0.768,36,Americas,Latin America and the Caribbean,MEX
Malta,6.3,10.661,0.923,71.6,0.886,0.119,0.729,37,Europe,Southern Europe,MLT
Panama,6.265,10.305,0.896,68.95,0.855,-0.133,0.878,38,Americas,Latin America and the Caribbean,PAN
Poland,6.26,10.453,0.925,69.049,0.765,-0.031,0.736,39,Europe,Eastern Europe,POL
Nicaragua,6.259,8.618,0.853,65.65,0.877,0.021,0.625,40,Americas,Latin America and the Caribbean,NIC
Latvia,6.213,10.37,0.937,66.4,0.818,-0.056,0.83,41,Europe,Northern Europe,LVA
Bahrain,6.173,10.776,0.844,65.825,0.944,0.117,0.737,42,Asia,Western Asia,BHR
Guatemala,6.15,9.116,0.812,62.9,0.856,-0.057,0.837,43,Americas,Latin America and the Caribbean,GTM
Kazakhstan,6.144,10.166,0.931,65.802,0.853,0,0.721,44,Asia,Central Asia,KAZ
Serbia,6.144,9.854,0.873,67.088,0.845,0.204,0.816,45,Europe,Southern Europe,SRB
Cyprus,6.13,10.611,0.826,72.802,0.724,-0.06,0.86,46,Asia,Western Asia,CYP
Japan,6.129,10.616,0.894,74.349,0.799,-0.237,0.64,47,Asia,Eastern Asia,JPN
Croatia,6.125,10.341,0.917,68.95,0.757,-0.093,0.925,48,Europe,Southern Europe,HRV
Brazil,6.125,9.582,0.836,65.749,0.801,-0.009,0.738,49,Americas,Latin America and the Caribbean,BRA
El Salvador,6.122,9.089,0.755,65.597,0.918,-0.108,0.62,50,Americas,Latin America and the Caribbean,SLV
Hungary,6.041,10.419,0.943,67.5,0.758,-0.059,0.839,51,Europe,Eastern Europe,HUN
Argentina,6.024,9.959,0.891,67.2,0.823,-0.089,0.814,52,Americas,Latin America and the Caribbean,ARG
Honduras,6.023,8.635,0.766,64.063,0.843,0.097,0.843,53,Americas,Latin America and the Caribbean,HND
Uzbekistan,6.014,8.948,0.875,65.301,0.938,0.23,0.638,54,Asia,Central Asia,UZB
Malaysia,6.012,10.169,0.799,65.662,0.877,0.16,0.758,55,Asia,South-eastern Asia,MYS
Portugal,5.968,10.429,0.878,71.25,0.902,-0.196,0.878,56,Europe,Southern Europe,PRT
South Korea,5.951,10.693,0.812,73.65,0.717,-0.046,0.701,57,Asia,Eastern Asia,PRK
Greece,5.931,10.288,0.835,71.15,0.568,-0.24,0.793,58,Europe,Southern Europe,GRC
Mauritius,5.902,9.957,0.888,63.85,0.813,-0.028,0.775,59,Africa,Sub-Saharan Africa,MUS
Thailand,5.843,9.751,0.874,68.45,0.85,0.289,0.91,60,Asia,South-eastern Asia,THA
Mongolia,5.84,9.372,0.933,60.5,0.701,0.19,0.849,61,Asia,Eastern Asia,MNG
Kyrgyzstan,5.825,8.486,0.911,66.852,0.934,0.181,0.904,62,Asia,Central Asia,KGZ
Moldova,5.819,9.499,0.857,65.299,0.84,-0.08,0.901,63,Europe,Eastern Europe,MDA
China,5.818,9.738,0.836,68.689,0.882,-0.041,0.727,64,Asia,Eastern Asia,CHN
Vietnam,5.763,9.287,0.821,65.502,0.939,-0.004,0.759,65,Asia,South-eastern Asia,VNM
Paraguay,5.738,9.51,0.906,65.9,0.891,0.021,0.843,66,Americas,Latin America and the Caribbean,PRY
Montenegro,5.722,9.813,0.89,67.1,0.805,0.063,0.844,67,Europe,Southern Europe,MNE
Jamaica,5.703,9.165,0.867,66.6,0.822,-0.106,0.875,68,Americas,Latin America and the Caribbean,JAM
Bolivia,5.684,8.985,0.811,63.599,0.868,-0.063,0.846,69,Americas,Latin America and the Caribbean,BOL
Russia,5.661,10.21,0.889,64.947,0.719,-0.03,0.801,70,Europe,Eastern Europe,RUS
Bosnia and Herzegovina,5.633,9.616,0.88,67.275,0.746,0.206,0.918,71,Europe,Southern Europe,BIH
Colombia,5.63,9.584,0.822,69.35,0.804,-0.104,0.834,72,Americas,Latin America and the Caribbean,COL
Dominican Republic,5.569,9.811,0.827,64.399,0.85,-0.099,0.657,73,Americas,Latin America and the Caribbean,DOM
Ecuador,5.559,9.27,0.806,69,0.802,-0.108,0.833,74,Americas,Latin America and the Caribbean,ECU
Peru,5.526,9.402,0.798,69.85,0.794,-0.119,0.892,75,Americas,Latin America and the Caribbean,PER
Philippines,5.523,8.979,0.78,62.038,0.919,-0.06,0.732,76,Asia,South-eastern Asia,PHL
Bulgaria,5.466,10.087,0.918,66.5,0.801,-0.057,0.911,77,Europe,Eastern Europe,BGR
Nepal,5.36,8.256,0.748,61.847,0.808,0.146,0.783,78,Asia,Southern Asia,NPL
Armenia,5.342,9.615,0.79,67.789,0.796,-0.155,0.705,79,Asia,Western Asia,ARM
Tajikistan,5.33,8.237,0.836,62.226,0.832,-0.06,0.522,80,Asia,Central Asia,TJK
Algeria,5.329,9.3,0.855,66.549,0.571,-0.117,0.717,81,Africa,Northern Africa,DZA
Hong Kong S.A.R. of China,5.308,10.966,0.817,77.28,0.687,-0.026,0.385,82,Asia,Eastern Asia,HKG
Albania,5.277,9.567,0.718,69.15,0.794,-0.007,0.878,83,Europe,Southern Europe,ALB
Indonesia,5.277,9.385,0.804,63.048,0.88,0.531,0.876,84,Asia,South-eastern Asia,IDN
South Africa,5.275,9.478,0.907,56.989,0.73,-0.087,0.902,85,Africa,Sub-Saharan Africa,ZAF
Congo (Brazzaville),5.267,8.095,0.605,56.85,0.73,-0.004,0.739,86,Europe,Sub-Saharan Africa,COG
North Macedonia,5.254,9.703,0.805,66.5,0.769,0.131,0.902,87,Europe,Southern Europe,MKD
Venezuela,5.211,5.527,0.839,64.05,0.659,0.128,0.811,88,Americas,Latin America and the Caribbean,VEN
Laos,5.111,8.962,0.679,60.946,0.919,0.091,0.703,89,Asia,South-eastern Asia,LAO
Georgia,5.109,9.646,0.716,64.95,0.786,-0.254,0.649,90,Asia,Western Asia,GEO
Guinea,5.072,7.88,0.649,54.185,0.659,0.125,0.787,91,Africa,Sub-Saharan Africa,GIN
Ukraine,5.071,9.314,0.878,64.55,0.795,0.24,0.907,92,Europe,Eastern Europe,UKR
Ivory Coast,5.053,8.576,0.572,55.953,0.733,0.003,0.746,93,Africa,Sub-Saharan Africa,CIV
Gabon,5.035,9.537,0.746,58.252,0.642,-0.187,0.786,94,Africa,Sub-Saharan Africa,GAB
Nigeria,4.981,8.496,0.74,54.891,0.718,0.073,0.911,95,Africa,Sub-Saharan Africa,NGA
Cameroon,4.973,8.217,0.686,55.847,0.686,0.015,0.846,96,Africa,Sub-Saharan Africa,CMR
Mozambique,4.954,7.116,0.692,51.53,0.851,0.047,0.66,97,Africa,Sub-Saharan Africa,MOZ
Iraq,4.941,9.098,0.718,63.415,0.646,-0.005,0.876,98,Asia,Western Asia,IRQ
State of Palestine,4.908,8.716,0.859,,0.694,-0.132,0.836,99,Asia,Western Asia,PSE
Morocco,4.903,8.973,0.553,63.901,0.787,-0.231,0.811,100,Africa,Northern Africa,MAR
Iran,4.876,9.61,0.778,66.6,0.593,0.173,0.747,101,Asia,Southern Asia,IRN
Senegal,4.855,8.155,0.629,59.999,0.772,0.011,0.846,102,Africa,Sub-Saharan Africa,SEN
Mauritania,4.724,8.591,0.644,60.475,0.622,-0.013,0.657,103,Africa,Sub-Saharan Africa,MRT
Burkina Faso,4.638,7.667,0.663,55.461,0.696,0.095,0.771,104,Africa,Sub-Saharan Africa,BFA
Namibia,4.631,9.121,0.787,56.851,0.669,-0.126,0.83,105,Africa,Sub-Saharan Africa,NAM
Turkiye,4.614,10.307,0.796,68.663,0.475,-0.077,0.795,106,Asia,Western Asia,TUR
Ghana,4.605,8.596,0.641,58.763,0.777,0.139,0.881,107,Africa,Sub-Saharan Africa,GHA
Pakistan,4.555,8.54,0.601,57.313,0.766,0.008,0.787,108,Asia,Southern Asia,PAK
Niger,4.501,7.091,0.59,56.55,0.788,0.032,0.734,109,Africa,Sub-Saharan Africa,NER
Tunisia,4.497,9.244,0.73,67,0.576,-0.213,0.907,110,Africa,Northern Africa,TUN
Kenya,4.487,8.458,0.69,58.499,0.696,0.288,0.852,111,Africa,Sub-Saharan Africa,KEN
Sri Lanka,4.442,9.491,0.826,67.15,0.787,-0.03,0.808,112,Asia,Southern Asia,LKA
Uganda,4.432,7.716,0.794,58.913,0.701,0.114,0.857,113,Africa,Sub-Saharan Africa,UGA
Chad,4.397,7.261,0.722,53.125,0.677,0.221,0.807,114,Africa,Sub-Saharan Africa,TCD
Cambodia,4.393,8.385,0.747,61.9,0.958,0.073,0.857,115,Asia,South-eastern Asia,KHM
Benin,4.374,8.103,0.437,56.095,0.743,-0.043,0.576,116,Africa,Sub-Saharan Africa,BEN
Myanmar,4.372,8.404,0.787,61.388,0.727,0.491,0.658,117,Asia,South-eastern Asia,MMR
Bangladesh,4.282,8.685,0.544,64.548,0.845,0.005,0.698,118,Asia,Southern Asia,BGD
Gambia,4.279,7.648,0.584,57.9,0.596,0.364,0.883,119,Africa,Sub-Saharan Africa,GMB
Mali,4.198,7.655,0.593,55.403,0.713,-0.028,0.846,120,Africa,Sub-Saharan Africa,MLI
Egypt,4.17,9.367,0.726,63.503,0.732,-0.183,0.58,121,Africa,Northern Africa,EGY
Togo,4.137,7.673,0.595,57.449,0.657,0.024,0.74,122,Africa,Sub-Saharan Africa,TGO
Jordan,4.12,9.13,0.729,67.6,0.77,-0.15,0.687,123,Asia,Western Asia,JOR
Ethiopia,4.091,7.739,0.782,60.698,0.72,0.273,0.789,124,Africa,Sub-Saharan Africa,ETH
Liberia,4.042,7.277,0.596,56.7,0.735,0.154,0.83,125,Africa,Sub-Saharan Africa,LBR
India,4.036,8.759,0.608,60.777,0.897,0.072,0.774,126,Asia,Southern Asia,IND
Madagascar,4.019,7.29,0.65,58.05,0.522,0.075,0.742,127,Africa,Sub-Saharan Africa,MDG
Zambia,3.982,8.074,0.694,55.032,0.791,0.098,0.818,128,Africa,Sub-Saharan Africa,ZMB
Tanzania,3.694,7.857,0.653,59.401,0.838,0.182,0.554,129,Africa,Sub-Saharan Africa,TZA
Comoros,3.545,8.075,0.471,59.425,0.47,-0.014,0.727,130,Africa,Sub-Saharan Africa,COM
Malawi,3.495,7.302,0.531,58.475,0.75,0.005,0.749,131,Africa,Sub-Saharan Africa,MWI
Botswana,3.435,9.629,0.753,54.725,0.742,-0.215,0.83,132,Africa,Sub-Saharan Africa,BWA
Congo (Kinshasa),3.207,7.007,0.652,55.375,0.664,0.086,0.834,133,Africa,Sub-Saharan Africa,COD
Zimbabwe,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,134,Africa,Sub-Saharan Africa,ZWE
Sierra Leone,3.138,7.394,0.555,54.9,0.66,0.105,0.858,135,Africa,Sub-Saharan Africa,SLE
Lebanon,2.392,9.478,0.53,66.149,0.474,-0.141,0.891,136,Asia,Western Asia,LBN
Afghanistan,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,137,Asia,Southern Asia,AFG
